"Front","Back","Why","Tags","IntrinsicDifficulty"
"What is consistent hashing?","Consistent hashing maps keys and nodes onto a ring so adding or removing nodes moves only a subset of keys.","That minimizes rebalancing cost and supports scalable partitioned systems and caches.","distributed-systems hashing","3"
"What is quorum read?","A quorum read requires enough replica responses (typically a majority) to satisfy a consistency threshold.","Combined with write quorum settings, it helps bound stale reads in replicated data stores.","distributed-systems database","4"
"What is Raft?","Raft is a consensus algorithm that maintains a replicated log through leader election, log replication, and committed entries.","It is widely used to keep cluster state consistent despite node failures and network issues.","distributed-systems consensus","5"
"What is two-phase commit?","Two-phase commit coordinates distributed transactions with a prepare phase and a commit/abort phase.","It enforces atomicity across participants but introduces blocking and coordination overhead.","distributed-systems transactions","4"
"Why is two-phase commit problematic?","2PC can block when the coordinator fails after participants prepare but before a final decision is known.","That coordination bottleneck hurts availability and latency, so many systems prefer eventually consistent patterns.","distributed-systems transactions","5"
"What is Saga pattern?","A Saga breaks a distributed transaction into local transactions linked by compensating actions on failure.","It improves availability and scalability compared with global locking approaches like 2PC.","distributed-systems transactions","4"
"What is Bloom filter?","A Bloom filter is a probabilistic set-membership structure that can return false positives but never false negatives.","It is useful for quickly filtering impossible lookups before hitting slower storage layers.","databases structures","4"
"What is LSM tree?","An LSM tree batches writes in memory and periodically compacts sorted immutable files on disk.","This write-optimized design powers many NoSQL engines handling high-ingest workloads.","databases architecture","4"
"What is cache stampede?","A cache stampede occurs when many requests simultaneously miss or expire the same key and all rebuild it at once.","Mitigations like request coalescing, jittered TTLs, and stale-while-revalidate prevent backend overload.","system-design caching","3"
"What is TCP?","TCP is a connection-oriented transport protocol that provides reliable, ordered, and error-checked byte delivery.","Many higher-level protocols depend on TCP's reliability guarantees for correct end-to-end behavior.","networking protocols","2"
"What is HTTP/2?","HTTP/2 adds multiplexing, header compression, and stream prioritization over a single connection.","These features reduce latency and improve throughput for modern web applications.","networking http","3"
"What is sticky session?","Sticky sessions route a user's requests to the same backend instance over time.","They can simplify stateful apps short term but reduce balancing flexibility and resilience.","system-design load-balancing","3"
"What is stateless architecture?","In stateless architecture, servers do not store per-client session state between requests.","That allows horizontal scaling and failover because any node can serve the next request.","system-design architecture","3"
"What is bulkhead pattern?","The bulkhead pattern isolates resources so one failing subsystem cannot exhaust the whole application.","Isolation limits blast radius and prevents cascading outages during dependency failures.","system-design resilience","3"
"What is JVM heap?","The heap is the JVM memory region where objects are allocated and reclaimed by garbage collection.","Heap sizing and GC behavior directly affect latency, throughput, and out-of-memory risk.","jvm memory","3"
